axis,domain,loading
axis1,prism,0.4918602128609273
axis1,staya,0.6401027717429734
axis1,mars,-0.34155635158937075
axis1,mathys,-0.29532215884415475
axis1,altman,-0.09463576862659714
axis1,qidsr,0.7271358484287401
axis1,psqi,0.48278966411981805
axis1,ess,0.17372989314328027
axis1,eq5d,-0.43111224152826105
axis1,eq,-0.40684604799713064
axis1,fagers,0.06157288109997009
axis1,ctq,0.23579446690478892
axis1,bis,0.28363469869854246
axis1,wurs,0.23954615751639363
axis1,csm,-0.245293012754437
axis1,egf,-0.4800419563296607
axis1,madrs,0.7031136287368459
axis1,ymrs,0.06820681980772217
axis1,fast,0.5665875253670579
axis1,isf,-0.10883462144427297
axis1,suncf_cigarettes_lt,0.05417030296391215
axis1,sudose_cigarettes_lt,0.014606233161027788
axis1,agedebut_cigarettes_lt,-0.01073851422413958
axis1,agetrt,-0.016232935788129947
axis1,agedebutpremier_episode,-0.0350079059157919
axis1,cetermpremier_episode,-0.08789323812101496
axis1,ppartpremier_episode,-0.004688726447497624
axis1,remisc,-0.17654223602060715
axis1,saison,-0.034301933765917385
axis1,somat_all,0.002905378136278295
axis1,pregnn_rporres,0.0015840639822275308
axis1,menostat_rporres,0.005388373795694092
axis1,mere_structure,-0.001516561785957677
axis1,mere_trouble,-0.00010408921983224143
axis1,mere_suicide,0.000511677331341945
axis1,pere_structure,-0.007964314001524739
axis1,pere_trouble,-0.0026947160178418693
axis1,pere_suicide,0.006556670806445934
axis1,agedebut_hospitalisation,0.016363597597149577
axis1,nboccur_hospitalisation_lt,0.021132300721587213
axis1,hodur_hospitalisation_lt,0.02159274014849833
axis1,hooccur_arret_travail_actuel,0.13671490234330821
axis1,hooccur_arret_travail,0.05615321052848742
axis1,maristat,-0.011202826456244774
axis1,edulevel,-0.0852050726086549
axis1,stprof,0.03379431033580002
axis1,lvsbjind,-0.025377649149547075
axis1,metabolic_syndrome,0.08117771440087217
axis1,cholesterol,0.0325513787189026
axis1,inflammation,0.05891417523514169
axis1,prolactin,0.011307033694597034
axis1,hepatic,0.03205796911977771
axis1,renal,-0.04234555487566479
axis1,cardiac_qtc,0.04897530795499603
axis2,prism,-0.028550173137949778
axis2,staya,-0.005545909848705203
axis2,mars,-0.06276390541003503
axis2,mathys,-0.016987792422873148
axis2,altman,-0.013806011600101944
axis2,qidsr,-0.008485831898604945
axis2,psqi,-0.02524592321352497
axis2,ess,0.00805646998152073
axis2,eq5d,0.008935490204483896
axis2,eq,0.05480960387290314
axis2,fagers,-0.021251306978265796
axis2,ctq,-0.05237448421123395
axis2,bis,-0.01851218234642601
axis2,wurs,-0.06094599747263257
axis2,csm,0.020806833427932287
axis2,egf,0.00955960281208713
axis2,madrs,0.0010437847651063059
axis2,ymrs,-0.022098957025967064
axis2,fast,-0.006442417908404432
axis2,isf,-0.0816911621715899
axis2,suncf_cigarettes_lt,-0.02110972883418034
axis2,sudose_cigarettes_lt,-0.025253457624613573
axis2,agedebut_cigarettes_lt,0.04236053397546081
axis2,agetrt,0.700940361225393
axis2,agedebutpremier_episode,0.6268285949680608
axis2,cetermpremier_episode,-0.06759102513312694
axis2,ppartpremier_episode,0.011290629201869915
axis2,remisc,-0.01647257025631124
axis2,saison,-0.03575936657677169
axis2,somat_all,-0.011609243973167387
axis2,pregnn_rporres,0.014366079596758662
axis2,menostat_rporres,-0.00901553299221746
axis2,mere_structure,-0.046999989650955774
axis2,mere_trouble,-0.028658571829523898
axis2,mere_suicide,-0.012170290928928948
axis2,pere_structure,-0.049914660778332426
axis2,pere_trouble,-0.028306072921788994
axis2,pere_suicide,-0.0005099761323324918
axis2,agedebut_hospitalisation,0.47938937176861224
axis2,nboccur_hospitalisation_lt,-0.15089722745458856
axis2,hodur_hospitalisation_lt,-0.054181613280020344
axis2,hooccur_arret_travail_actuel,0.04338008633693148
axis2,hooccur_arret_travail,0.035874827410697134
axis2,maristat,0.031266771705604
axis2,edulevel,0.03474045549195116
axis2,stprof,-0.005280901241018138
axis2,lvsbjind,0.009438109320066009
axis2,metabolic_syndrome,-0.017539429439052203
axis2,cholesterol,0.009690862177208465
axis2,inflammation,-0.010252598990424145
axis2,prolactin,0.0034379483693575117
axis2,hepatic,0.004578870687735414
axis2,renal,0.010237502225080625
axis2,cardiac_qtc,0.01349670960745694
axis3,prism,0.08356612911325062
axis3,staya,-0.05535864552090729
axis3,mars,-0.02660904874446952
axis3,mathys,0.47074350229789724
axis3,altman,0.596869246028944
axis3,qidsr,-0.059443461030253664
axis3,psqi,0.19809783241238932
axis3,ess,0.030097813042575344
axis3,eq5d,0.0640945380428126
axis3,eq,-0.0015526619189685667
axis3,fagers,0.013857704630439673
axis3,ctq,0.10632285282895428
axis3,bis,0.14560789946284486
axis3,wurs,0.11947074914160385
axis3,csm,0.04659716609441988
axis3,egf,-0.04089941328376058
axis3,madrs,-0.07973267217154538
axis3,ymrs,0.5124768267872875
axis3,fast,-0.006756764181723315
axis3,isf,0.03053883497942211
axis3,suncf_cigarettes_lt,-0.0034321893668188175
axis3,sudose_cigarettes_lt,0.004144637082010601
axis3,agedebut_cigarettes_lt,-0.013707389249050681
axis3,agetrt,0.009117030506663891
axis3,agedebutpremier_episode,-0.04137968118003172
axis3,cetermpremier_episode,0.02619123472072356
axis3,ppartpremier_episode,0.010383055675106433
axis3,remisc,-0.05604566925123979
axis3,saison,0.027531580656412983
axis3,somat_all,0.029408516712273087
axis3,pregnn_rporres,0.02923650724588183
axis3,menostat_rporres,0.0032643072101328258
axis3,mere_structure,0.044960817581877394
axis3,mere_trouble,0.010619443777276187
axis3,mere_suicide,-0.003661700580409082
axis3,pere_structure,0.03442780768839319
axis3,pere_trouble,-0.015244812007435
axis3,pere_suicide,-0.017442314720906894
axis3,agedebut_hospitalisation,-0.012628991394054498
axis3,nboccur_hospitalisation_lt,-0.01756040643128324
axis3,hodur_hospitalisation_lt,-0.010806191573588588
axis3,hooccur_arret_travail_actuel,0.012197205079394178
axis3,hooccur_arret_travail,-0.02099489826663039
axis3,maristat,0.04050471823329881
axis3,edulevel,-0.03269164070383955
axis3,stprof,0.005183652573511236
axis3,lvsbjind,0.008002859691729551
axis3,metabolic_syndrome,-0.0164675024850763
axis3,cholesterol,-0.06604136014851639
axis3,inflammation,0.003061102641200982
axis3,prolactin,-0.0088198545814528
axis3,hepatic,-0.001594788081273695
axis3,renal,-0.03555038198178368
axis3,cardiac_qtc,-0.00033844114189369426
axis4,prism,0.020506985376284172
axis4,staya,-0.02520826960811116
axis4,mars,-0.016766309344054885
axis4,mathys,0.004834782866627664
axis4,altman,-0.010877403642307144
axis4,qidsr,-0.02086893477863735
axis4,psqi,0.006858250197705455
axis4,ess,-0.07289179079165131
axis4,eq5d,-0.046666296859774074
axis4,eq,-0.07673586570654702
axis4,fagers,0.08122316992304494
axis4,ctq,0.05523704256897483
axis4,bis,-0.027504318195932062
axis4,wurs,-0.007339642284830194
axis4,csm,0.015223267208490853
axis4,egf,-0.1821594239569889
axis4,madrs,-0.018110200206472978
axis4,ymrs,-0.02621381182600934
axis4,fast,0.04180118554834615
axis4,isf,0.13948097409447144
axis4,suncf_cigarettes_lt,0.10947800084048644
axis4,sudose_cigarettes_lt,0.003754686935955814
axis4,agedebut_cigarettes_lt,-0.0034075445981400503
axis4,agetrt,-0.10728522808926731
axis4,agedebutpremier_episode,0.03490201515924412
axis4,cetermpremier_episode,0.004182872750670696
axis4,ppartpremier_episode,0.010004161690174668
axis4,remisc,-0.005423971707828512
axis4,saison,-0.012081075577637653
axis4,somat_all,-0.0005265306762903818
axis4,pregnn_rporres,-0.030905975364744587
axis4,menostat_rporres,0.017877129692326563
axis4,mere_structure,-0.0630955233136143
axis4,mere_trouble,0.003780337902757333
axis4,mere_suicide,0.007848330648768512
axis4,pere_structure,-0.04313829834090277
axis4,pere_trouble,0.005081474479989365
axis4,pere_suicide,0.0035168258363739466
axis4,agedebut_hospitalisation,-0.18211587661586406
axis4,nboccur_hospitalisation_lt,0.63789784377646
axis4,hodur_hospitalisation_lt,0.46442152603536496
axis4,hooccur_arret_travail_actuel,0.044586001938574316
axis4,hooccur_arret_travail,0.05671247684068657
axis4,maristat,-0.0711489460951639
axis4,edulevel,-0.13052177962441752
axis4,stprof,-0.006255937743142391
axis4,lvsbjind,-0.012584767668041001
axis4,metabolic_syndrome,0.07278086200447455
axis4,cholesterol,-0.006680795136542238
axis4,inflammation,0.05755759991276478
axis4,prolactin,0.026883727672137012
axis4,hepatic,-0.00816264033201712
axis4,renal,0.002557853906503769
axis4,cardiac_qtc,-0.011074901907859992
axis5,prism,0.12477197025636644
axis5,staya,0.08855701582095202
axis5,mars,-0.08060433192544125
axis5,mathys,0.07171601337629724
axis5,altman,0.09553951829454088
axis5,qidsr,0.09539310755796374
axis5,psqi,0.08215696876940101
axis5,ess,0.1317091856636252
axis5,eq5d,0.022360967238042092
axis5,eq,-0.07259248168426327
axis5,fagers,0.032047480774693195
axis5,ctq,0.3072859771224822
axis5,bis,0.4480025480426743
axis5,wurs,0.5338982195521947
axis5,csm,-0.08110009202317388
axis5,egf,0.013902641826485823
axis5,madrs,-0.04677807120928803
axis5,ymrs,0.04160125861120097
axis5,fast,0.043716730822170716
axis5,isf,0.10068107786770966
axis5,suncf_cigarettes_lt,0.14221276039350858
axis5,sudose_cigarettes_lt,0.015350051034383203
axis5,agedebut_cigarettes_lt,-0.05474363732020854
axis5,agetrt,0.009778930321262013
axis5,agedebutpremier_episode,-0.07285105990778536
axis5,cetermpremier_episode,0.03492347225883896
axis5,ppartpremier_episode,-0.021107288640047635
axis5,remisc,-0.011347806206826384
axis5,saison,0.02253961242389546
axis5,somat_all,0.007538405369375891
axis5,pregnn_rporres,0.05066387874394608
axis5,menostat_rporres,-0.002690542561797184
axis5,mere_structure,0.030022631748281917
axis5,mere_trouble,0.031636705736739025
axis5,mere_suicide,0.041820310006657556
axis5,pere_structure,0.035878492801193464
axis5,pere_trouble,0.009896950781652671
axis5,pere_suicide,0.02107487456281568
axis5,agedebut_hospitalisation,0.006855367181947173
axis5,nboccur_hospitalisation_lt,-0.005025934580215183
axis5,hodur_hospitalisation_lt,-0.007062319791316908
axis5,hooccur_arret_travail_actuel,-0.021947256106564356
axis5,hooccur_arret_travail,-0.02181633055545551
axis5,maristat,0.02156580321832685
axis5,edulevel,-0.12646336898740598
axis5,stprof,-0.03578161141734172
axis5,lvsbjind,0.022975631007536766
axis5,metabolic_syndrome,0.006270756079625328
axis5,cholesterol,0.008520528807112026
axis5,inflammation,0.020086149964797354
axis5,prolactin,0.015137385649935524
axis5,hepatic,-0.016246022684723277
axis5,renal,-0.004543277615440662
axis5,cardiac_qtc,-0.02536734758229132
axis6,prism,0.0389651203791999
axis6,staya,-0.0336439294456364
axis6,mars,0.01826133808791551
axis6,mathys,-0.011896138256767434
axis6,altman,-0.009961958641114814
axis6,qidsr,0.02016241832467913
axis6,psqi,0.023879439329637656
axis6,ess,-0.009690477750845847
axis6,eq5d,-0.009033616317773045
axis6,eq,-0.04940873538896631
axis6,fagers,0.1064932650527542
axis6,ctq,0.048513939157967256
axis6,bis,-0.0043630934292203626
axis6,wurs,0.005957417593350754
axis6,csm,-0.04958982951002287
axis6,egf,-0.10604650268195401
axis6,madrs,-0.009744821577508871
axis6,ymrs,-0.026656261221492165
axis6,fast,0.08586298846928478
axis6,isf,0.01745435221504448
axis6,suncf_cigarettes_lt,0.08678283421696868
axis6,sudose_cigarettes_lt,0.059461439513419895
axis6,agedebut_cigarettes_lt,-0.028244934184465404
axis6,agetrt,-0.01512964265830184
axis6,agedebutpremier_episode,0.0008002698057397038
axis6,cetermpremier_episode,0.007940553226940636
axis6,ppartpremier_episode,0.035981424142158644
axis6,remisc,-0.03220997086410989
axis6,saison,-0.02055884250071077
axis6,somat_all,2.545893989507332e-05
axis6,pregnn_rporres,-0.015844126698461823
axis6,menostat_rporres,-0.0013165747527626888
axis6,mere_structure,0.021868511777941423
axis6,mere_trouble,-0.039981127893351794
axis6,mere_suicide,-0.033946931627487735
axis6,pere_structure,0.08623414210560733
axis6,pere_trouble,-0.026205912665606877
axis6,pere_suicide,-0.025068330100667
axis6,agedebut_hospitalisation,0.010175653413493973
axis6,nboccur_hospitalisation_lt,0.057114834553906445
axis6,hodur_hospitalisation_lt,0.014701679193818885
axis6,hooccur_arret_travail_actuel,0.007977602214771937
axis6,hooccur_arret_travail,-0.00859457514034336
axis6,maristat,-0.008501356579027945
axis6,edulevel,-0.13213509015837274
axis6,stprof,-0.0046160756703522345
axis6,lvsbjind,-0.014750134884160474
axis6,metabolic_syndrome,0.601997360138814
axis6,cholesterol,0.36520378509832646
axis6,inflammation,0.27247340977437523
axis6,prolactin,-0.018992840022779914
axis6,hepatic,0.2279657630624948
axis6,renal,0.028713518999439438
axis6,cardiac_qtc,0.003683321288040586
axis7,prism,0.15459554233246536
axis7,staya,0.11320893591778206
axis7,mars,0.06377770842097669
