k,stability_ari,pac,gap,silhouette,sex_cramersV,age_eta2,cohort_ari
2,0.9206212710409013,0.29073780148938533,1.0627313962911789,0.15458036959731578,0.0062657561070636365,0.003537331393602834,0.0060475864484704385
3,0.8603779478949714,0.2965837501389352,1.1516683256399975,0.14826423324663843,0.006876286520331678,0.0055325987371571735,-0.0017308250444469878
4,0.9266055847697696,0.08808891852839836,1.239074484305295,0.16841166113969483,0.0412427377248691,0.010413901900157207,0.013983602060125501
5,0.9717658123540501,0.04654373680115594,1.3169048285346747,0.18402520246999654,0.041477922784239646,0.016010146676816498,0.001664277220429034
6,0.8505221961827368,0.11416938979659887,1.367398429399362,0.19562515981455048,0.17598044395247053,0.0390933059701951,0.05130112179149772
7,0.8391278086193242,0.100541069245304,1.4171522173086073,0.19808293243615013,0.2329454607281795,0.07123852115681943,0.1072211545516088
8,0.7389406473960632,0.1440053351117039,1.458215241476971,0.2013984213898178,0.1790882122934891,0.09903728819089289,0.11559555547929978
9,0.7658238415860416,0.12418895187284651,1.4962351351788143,0.20610890540834179,0.242053737194804,0.11675158839110421,0.15795412263312752
