visit,n_paired,ari_vs_V0,pct_persist
V1,3782,0.07043104506430999,0.3897408778424114
V2,2612,0.07066382997806749,0.38935681470137823
V3,1739,0.061681692288355176,0.3737780333525014
V4,697,0.05557259016913399,0.3601147776183644
