outcome,axis,beta
EGF functioning,axis1,-3.602964736113801
EGF functioning,axis2,0.7253375359248964
EGF functioning,axis3,-0.7596865619781906
EGF functioning,axis4,-1.361605631614503
EGF functioning,axis5,-0.9177878594163619
EGF functioning,axis6,-0.4839276997021524
EGF functioning,axis7,-0.022604578122683714
any hospitalization,axis1,0.2554786362281175
any hospitalization,axis2,0.07614444182174036
any hospitalization,axis3,0.44703574855720957
any hospitalization,axis4,0.08688566295861033
any hospitalization,axis5,0.0381908362652938
any hospitalization,axis6,0.06060087511533963
any hospitalization,axis7,-0.07818371972963388
EQ-5D quality of life,axis1,-0.043744634106493596
EQ-5D quality of life,axis2,0.017342878551712532
EQ-5D quality of life,axis3,-0.012173678392339732
EQ-5D quality of life,axis4,-0.024349216171590145
EQ-5D quality of life,axis5,-0.026295008003232586
EQ-5D quality of life,axis6,-0.012971644988842379
EQ-5D quality of life,axis7,-0.0010220124025464494
