axis,eta_sq,ci_lo,ci_hi
depression_severity,0.1185011579941757,0.106410812303905,0.13140116359477574
later_onset,0.013829207405167151,0.009344205586113314,0.02060748326344733
mania_activation,0.04529411887021135,0.038602957341561765,0.05352808773890225
illness_burden,0.11234659218805611,0.09992404765709152,0.125961414889135
cognition_verbal,0.1092885548917626,0.09732549711650768,0.12290992073330852
metabolic,0.009467911096028066,0.005906765462934754,0.01508097632616217
