,depression_severity,later_onset,mania_activation,illness_burden,metabolic,adhd_impulsivity_trauma
cog1,-0.17194106670591172,0.05602813613351428,-0.0038051936252844936,-0.166608553321714,-0.1305978835013188,-0.020232750854129063
cog2,-0.06819255237515355,-0.014350630564126986,-0.034052290030841266,-0.1081521324563844,-0.08772876426939763,-0.08843224873099202
cog3,-0.01467331610280752,-0.00320137706474944,-0.015408083133472045,-0.06365482377711984,-0.06142219494745387,0.0109967501246146
cog4,0.036099538828972634,-0.0017971113384098961,0.00777879303459712,0.20833871702558232,0.07576378569015546,-0.023032424405156696
