k,silhouette,ari_vs_reference,nmi_vs_reference,cohort_entropy_mean,inertia,n_nonempty
2,0.13153560083544927,0.010274152191775687,0.014367641924192046,0.6840010548911866,4367.269181579529,2
3,0.15938417756354237,0.0027009904884007134,0.0058934294227451995,0.6938605651767883,3889.5407189885454,3
4,0.17896161080847167,0.002122781233233698,0.008862192520856198,0.6978234884722231,3548.0563725205056,4
5,0.1939357933526016,0.020499295132042277,0.0371098741298018,0.6458212347525946,3278.385762674971,5
6,0.20946325886877212,0.02964988668253375,0.04866804783670191,0.6216436935786125,3075.6037821625123,6
7,0.19453679231855545,0.0893870221179119,0.18467376423225546,0.37978916922864053,2949.286714777822,7
8,0.2204080012298942,0.06888889970583612,0.1562063003908527,0.39812701172484927,2754.4475694794105,8
9,0.22662943106965014,0.11337738417292718,0.22293695465829738,0.24333243991082987,2592.810488602753,9
10,0.22094988831644696,0.10961688085395656,0.21604164053558114,0.24116274723330622,2495.2612065966364,10
