,overall_severity,cognition,metabolic,inflammatory,sleep,suicidality,developmental_risk
overall_severity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cognition,0.0,1.0,0.164,0.069,-0.121,-0.128,-0.06
metabolic,0.0,0.164,1.0,0.206,-0.026,-0.088,-0.024
inflammatory,0.0,0.069,0.206,1.0,-0.03,-0.012,-0.011
sleep,0.0,-0.121,-0.026,-0.03,1.0,0.109,0.165
suicidality,0.0,-0.128,-0.088,-0.012,0.109,1.0,0.223
developmental_risk,0.0,-0.06,-0.024,-0.011,0.165,0.223,1.0
