,overall_severity,cognition,metabolic,inflammatory,sleep,suicidality,developmental_risk,mania_activation,substance
overall_severity,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cognition,0.0,1.0,0.02838981968829337,-0.002748319628847633,-0.16153682757381804,-0.040242907234476745,-0.07859780902269797,-0.004491003354371008,-0.009201376367641697
metabolic,0.0,0.02838981968829337,1.0,0.3364584081138024,-0.0023722043356788265,0.019152260541793066,-0.02110769226608787,0.010708761984333065,0.12529553493974033
inflammatory,0.0,-0.002748319628847633,0.3364584081138024,1.0,0.00017629693543773847,-0.021313321017009734,-0.006153701980711647,0.023414799835191052,0.31261756566086135
sleep,0.0,-0.16153682757381804,-0.0023722043356788265,0.00017629693543773847,1.0,0.11676959572319107,0.2006717699639239,0.24007301589640712,-0.00035403201555520383
suicidality,0.0,-0.040242907234476745,0.019152260541793066,-0.021313321017009734,0.11676959572319107,1.0,0.16868944564567132,0.019042286575519776,0.17245534849685132
developmental_risk,0.0,-0.07859780902269797,-0.02110769226608787,-0.006153701980711647,0.2006717699639239,0.16868944564567132,1.0,0.14499444727087815,0.0977270171322008
mania_activation,0.0,-0.004491003354371008,0.010708761984333065,0.023414799835191052,0.24007301589640712,0.019042286575519776,0.14499444727087815,1.0,0.059397662364762835
substance,0.0,-0.009201376367641697,0.12529553493974033,0.31261756566086135,-0.00035403201555520383,0.17245534849685132,0.0977270171322008,0.059397662364762835,1.0
