item,factor,loading,kind,home
agepere,overall_severity,0.021,bifactor_G,developmental_risk
agepere,developmental_risk,0.007,primary,developmental_risk
alp_lbstresc,overall_severity,0.114,bifactor_G,metabolic
alp_lbstresc,metabolic,0.286,primary,metabolic
alt_lbstresc,overall_severity,0.025,bifactor_G,metabolic
alt_lbstresc,metabolic,0.478,primary,metabolic
apgr0106_1min,overall_severity,-0.025,bifactor_G,developmental_risk
apgr0106_1min,developmental_risk,0.059,primary,developmental_risk
ast_lbstresc,overall_severity,-0.032,bifactor_G,metabolic
ast_lbstresc,metabolic,0.301,primary,metabolic
baso_lbstresc,overall_severity,-0.029,bifactor_G,inflammatory
baso_lbstresc,inflammatory,0.169,primary,inflammatory
bili_lbstresc,overall_severity,-0.112,bifactor_G,metabolic
bili_lbstresc,metabolic,0.012,primary,metabolic
bmi,overall_severity,0.129,bifactor_G,metabolic
bmi,metabolic,0.897,primary,metabolic
brthcirc,overall_severity,-0.016,bifactor_G,developmental_risk
brthcirc,developmental_risk,0.07,primary,developmental_risk
brthht,overall_severity,-0.036,bifactor_G,developmental_risk
brthht,developmental_risk,0.038,primary,developmental_risk
cgi01,overall_severity,0.609,g_anchor,overall_severity
chol,overall_severity,0.096,bifactor_G,metabolic
chol,metabolic,0.21,primary,metabolic
cholhdl_lbstresc,overall_severity,0.172,bifactor_G,metabolic
cholhdl_lbstresc,metabolic,0.431,primary,metabolic
creat_lbstresc,overall_severity,-0.03,bifactor_G,metabolic
creat_lbstresc,metabolic,0.173,primary,metabolic
crp,overall_severity,0.081,bifactor_G,inflammatory
crp,inflammatory,0.294,primary,inflammatory
csm,overall_severity,0.307,bifactor_G,sleep
csm,sleep,0.086,primary,sleep
ctq29,overall_severity,0.143,bifactor_G,developmental_risk
ctq29,developmental_risk,0.657,primary,developmental_risk
ctq31,overall_severity,0.231,bifactor_G,developmental_risk
ctq31,developmental_risk,0.762,primary,developmental_risk
ctq33,overall_severity,0.293,bifactor_G,developmental_risk
ctq33,developmental_risk,0.65,primary,developmental_risk
ctq35,overall_severity,0.088,bifactor_G,developmental_risk
ctq35,developmental_risk,0.526,primary,developmental_risk
ctq37,overall_severity,0.19,bifactor_G,developmental_risk
ctq37,developmental_risk,0.813,primary,developmental_risk
ctq39,overall_severity,0.263,bifactor_G,developmental_risk
ctq39,developmental_risk,0.961,primary,developmental_risk
cvlt_long_delay_free_recall,overall_severity,0.218,bifactor_G,cognition
cvlt_long_delay_free_recall,cognition,0.95,primary,cognition
cvlt_short_delay_free_recall,overall_severity,0.209,bifactor_G,cognition
cvlt_short_delay_free_recall,cognition,0.967,primary,cognition
cvlt_total_recall,overall_severity,0.254,bifactor_G,cognition
cvlt_total_recall,cognition,0.898,primary,cognition
diabpstanding,overall_severity,0.027,bifactor_G,metabolic
diabpstanding,metabolic,0.361,primary,metabolic
diabpsupine,overall_severity,0.09,bifactor_G,metabolic
diabpsupine,metabolic,0.374,primary,metabolic
egf,overall_severity,0.715,g_anchor,overall_severity
eghrmn,overall_severity,0.182,bifactor_G,metabolic
eghrmn,metabolic,0.185,primary,metabolic
eos,overall_severity,-0.002,bifactor_G,inflammatory
eos,inflammatory,0.29,primary,inflammatory
eq5d,overall_severity,0.687,g_anchor,overall_severity
eq5d0206,overall_severity,0.631,g_anchor,overall_severity
ess0109,overall_severity,0.143,bifactor_G,sleep
ess0109,sleep,0.068,primary,sleep
fast,overall_severity,0.937,g_anchor,overall_severity
fast25,overall_severity,0.808,g_anchor,overall_severity
fast26,overall_severity,0.579,g_anchor,overall_severity
fast27,overall_severity,0.745,g_anchor,overall_severity
fast28,overall_severity,0.43,g_anchor,overall_severity
fast30,overall_severity,0.721,g_anchor,overall_severity
ggt_lbstresc,overall_severity,0.163,bifactor_G,metabolic
ggt_lbstresc,metabolic,0.488,primary,metabolic
gluc,overall_severity,0.054,bifactor_G,metabolic
gluc,metabolic,0.142,primary,metabolic
gstabrth,overall_severity,0.017,bifactor_G,developmental_risk
gstabrth,developmental_risk,0.037,primary,developmental_risk
hba1c,overall_severity,0.192,bifactor_G,metabolic
hba1c,metabolic,0.246,primary,metabolic
hdl,overall_severity,0.165,bifactor_G,metabolic
hdl,metabolic,0.342,primary,metabolic
hrstanding,overall_severity,0.163,bifactor_G,metabolic
hrstanding,metabolic,0.118,primary,metabolic
hrsupine,overall_severity,0.188,bifactor_G,metabolic
hrsupine,metabolic,0.157,primary,metabolic
ldl,overall_severity,0.071,bifactor_G,metabolic
ldl,metabolic,0.231,primary,metabolic
lvsbjind,overall_severity,0.019,g_anchor,overall_severity
lym_lbstresc,overall_severity,-0.075,bifactor_G,inflammatory
lym_lbstresc,inflammatory,0.001,primary,inflammatory
madrs,overall_severity,0.793,window,
madrs,cognition,-0.031,window,
madrs,sleep,0.1,window,
madrs,anhedonia,0.087,window,
mono_lbstresc,overall_severity,0.054,bifactor_G,inflammatory
mono_lbstresc,inflammatory,0.466,primary,inflammatory
neut,overall_severity,0.144,bifactor_G,inflammatory
neut,inflammatory,0.827,primary,inflammatory
plat,overall_severity,0.052,bifactor_G,inflammatory
plat,inflammatory,0.218,primary,inflammatory
psqi,overall_severity,0.413,bifactor_G,sleep
psqi,sleep,0.902,primary,sleep
psqi11,overall_severity,0.12,bifactor_G,sleep
psqi11,sleep,0.58,primary,sleep
psqi12,overall_severity,0.061,bifactor_G,sleep
psqi12,sleep,0.584,primary,sleep
psqi13,overall_severity,0.266,bifactor_G,sleep
psqi13,sleep,0.502,primary,sleep
psqi14,overall_severity,0.183,bifactor_G,sleep
psqi14,sleep,0.557,primary,sleep
psqi15,overall_severity,0.296,bifactor_G,sleep
psqi15,sleep,0.658,primary,sleep
psqi17,overall_severity,0.502,bifactor_G,sleep
psqi17,sleep,0.327,primary,sleep
qids_anhedonia_interest,overall_severity,0.611,bifactor_G,anhedonia
qids_anhedonia_interest,anhedonia,0.419,primary,anhedonia
qidsr120,overall_severity,0.738,window,
qidsr120,cognition,-0.023,window,
qidsr120,sleep,0.156,window,
qidsr120,anhedonia,0.365,window,
staya,overall_severity,0.628,window,
staya,sleep,0.196,window,
sysbpstanding,overall_severity,-0.015,bifactor_G,metabolic
sysbpstanding,metabolic,0.45,primary,metabolic
sysbpsupine,overall_severity,0.049,bifactor_G,metabolic
