,overall_severity,cognition,immunometabolic,sleep,suicidality,developmental_risk,mania_activation,substance
overall_severity,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cognition,0.0,1.0,0.054480047065437076,-0.15453484112663346,-0.13169169480970036,-0.12217767283281764,-0.041919599205531774,0.0
immunometabolic,0.0,0.054480047065437076,1.0,0.014392211711316275,0.07612285035645175,-0.0019219924843940563,0.02970750560876958,0.0
sleep,0.0,-0.15453484112663346,0.014392211711316275,1.0,0.1292866604392418,0.1997354900058485,0.2259769700724329,0.0
suicidality,0.0,-0.13169169480970036,0.07612285035645175,0.1292866604392418,1.0,0.19867013152704419,0.055171703589256396,0.0
developmental_risk,0.0,-0.12217767283281764,-0.0019219924843940563,0.1997354900058485,0.19867013152704419,1.0,0.1345015333493987,0.0
mania_activation,0.0,-0.041919599205531774,0.02970750560876958,0.2259769700724329,0.055171703589256396,0.1345015333493987,1.0,0.0
substance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
