item,home_factor,family,modeling_block,item_sign,n_obs,frac_missing,n_distinct,modal_frac,frac_zero,minimum,maximum,mean,sd,median,skew,kurtosis,normaltest_p_raw,normaltest_p_yeojohnson,empirical_form,recommended_tier,n_bp,n_sz,n_dr
eghrmn,metabolic,gaussian,continuous,1,4599,0.48973704648840566,84,0.04674929332463579,0.0,38.0,150.0,70.04707545118504,12.653665678027245,69.0,0.6098169803344462,0.7695652311485044,2.3245221714620066e-67,0.825364272138009,continuous_symmetric,gaussianize,4244,0,355
hdl,metabolic,gaussian,continuous,-1,7036,0.2193498280261844,291,0.026293348493462196,0.0,0.17,4.94,1.386755827174531,0.4579878763670985,1.33,1.254858720451689,5.414582670577859,0.0,8.131642490434854e-33,continuous_heavy_tailed,gaussianize,4956,1701,379
hrstanding,metabolic,gaussian,continuous,1,5298,0.41218240319538446,104,0.03491883729709324,0.0,40.0,178.0,82.43204983012457,15.48315880179084,81.0,0.5125596002242966,0.6036671866209518,1.8148272634589596e-56,0.9280553665587133,count,gaussianize,4923,0,375
hrsupine,metabolic,gaussian,continuous,1,6025,0.33152113613669143,94,0.0391701244813278,0.0,36.0,142.0,73.9551867219917,13.425014741733333,73.0,0.5336682960240905,0.5853204998433958,2.5220048628249806e-67,0.6612432037559484,count,gaussianize,5599,0,426
ldl,metabolic,gaussian,continuous,1,6777,0.24808609785864866,565,0.01003393832079091,0.0,0.3,9.09,2.9940864689390585,1.0163159786268043,2.93,0.3886513285645601,0.6074218854635118,3.813764007338979e-49,0.000300164273634082,continuous_symmetric,gaussianize,4735,1669,373
sysbpstanding,metabolic,gaussian,continuous,1,5690,0.3686896704759791,115,0.060984182776801406,0.0,64.0,206.0,121.4244288224956,16.19224360516513,120.0,0.5869060456254278,0.9567119834536233,5.910985184815222e-85,1.360836933921738e-09,count,gaussianize,5280,0,410
sysbpsupine,metabolic,gaussian,continuous,1,8000,0.112393209808055,108,0.071625,0.0,78.0,200.0,121.40725,15.16392585834882,120.0,0.6808371694173323,0.9233679069120617,1.8323181447853423e-142,0.7208019671516177,count,gaussianize,5703,1871,426
t3fr_lbstresc,metabolic,gaussian,continuous,1,5078,0.43659158992566294,503,0.04450571090980701,0.0,0.77,34.4,4.7468802284363925,1.8959237070205754,4.6,10.246157292012015,146.52399754410536,0.0,3.3242071339475852e-195,continuous_heavy_tailed,gaussianize,4701,0,377
t4fr_lbstresc,metabolic,gaussian,continuous,1,5098,0.43437257295018306,599,0.02334248724990192,0.0,1.0,46.7,13.624215908199293,3.247260649882267,13.5,0.035369129092655195,4.302158085726169,6.265530398183763e-110,3.827250638912031e-144,continuous_heavy_tailed,gaussianize,4722,0,376
tsh_lbstresc,metabolic,gaussian,continuous,1,4993,0.4460224120714523,1264,0.0074103745243340674,0.0002002803925495694,0.0,125.0,2.340469797716804,2.521462472326763,1.92,25.787124719571146,1157.340185367802,0.0,1.673515230431272e-08,continuous_heavy_tailed,gaussianize,4578,0,415
urea_lbstresc,metabolic,gaussian,continuous,1,5160,0.42749362032619553,529,0.02558139534883721,0.0,0.85,66.0,4.832196511627907,2.0743028370594283,4.6,12.067958272229868,298.50661100584034,0.0,1.360087621973086e-47,continuous_heavy_tailed,gaussianize,4754,0,406
vitd,metabolic,gaussian,continuous,-1,1464,0.8375679573948741,471,0.01366120218579235,0.0,1.0,185.0,50.472513661202186,29.217548154905806,46.0,0.8387711102915248,0.8249216203114988,1.0214633981863538e-34,0.2256950050766291,continuous_left_skewed,gaussianize,0,1109,355
weight,metabolic,gaussian,continuous,1,8251,0.08454454676578271,561,0.0262998424433402,0.0,28.6,181.0,75.86824130408435,17.78829616730509,74.0,0.8522666876997239,1.3426450598952409,1.6490831005746183e-218,0.0020361259628523445,continuous_right_skewed,gaussianize,5834,1966,451
wstcir,metabolic,gaussian,continuous,1,7830,0.1312548540996339,188,0.028735632183908046,0.0,32.0,182.0,92.91945083014048,15.50817214485325,91.75,0.4916634301936985,0.9977392984360351,1.7600240727296215e-95,3.8003104437049114e-34,continuous_symmetric,gaussianize,5587,1842,401
alp_lbstresc,metabolic,lognormal,continuous,1,5205,0.4225008321313658,219,0.025360230547550433,0.0,10.0,525.0,65.16780595581172,23.0183727851489,62.0,3.155560888885119,40.327027570316595,0.0,3.838896269343682e-53,continuous_heavy_tailed,gaussianize,4812,0,393
alt_lbstresc,metabolic,lognormal,continuous,1,5391,0.4018639742594031,161,0.05490632535707661,0.0,3.99,556.0,25.264843257280653,22.23102406932579,20.0,7.164138935888819,105.44343430417037,0.0,0.004810650591056367,continuous_heavy_tailed,gaussianize,4977,0,414
ast_lbstresc,metabolic,lognormal,continuous,1,5386,0.4024187285032731,126,0.07148161901225399,0.0,2.0,630.0,22.24068696620869,15.669152702920671,20.0,16.07023348660654,491.1718503620981,0.0,8.9155869241842e-101,continuous_heavy_tailed,gaussianize,4973,0,413
bili_lbstresc,metabolic,lognormal,continuous,1,4952,0.4505713968711861,255,0.08743941841680129,0.0,1.0,507.0,8.378614701130857,8.94159501797292,7.0,35.98051963990603,1955.5725390911778,0.0,2.0089584442213495e-07,continuous_heavy_tailed,gaussianize,4590,0,362
creat_lbstresc,metabolic,lognormal,continuous,1,5433,0.39720403861089537,593,0.025584391680471195,0.0,10.2,925.0,73.44418369225106,22.173899871797747,71.7,16.26189992966492,528.1923255533897,0.0,4.686956919509013e-250,continuous_heavy_tailed,gaussianize,5009,0,424
ggt_lbstresc,metabolic,lognormal,continuous,1,5354,0.4059691556640408,234,0.04781471796787449,0.0,3.0,769.0,30.7725999252895,35.54944619600886,21.0,6.486711368354774,75.4839540271099,0.0,0.3797532962812698,continuous_heavy_tailed,gaussianize,4942,0,412
gluc,metabolic,lognormal,continuous,1,6728,0.25352268944857426,491,0.050089179548156955,0.0,0.62,37.0,4.911867419738406,1.2030727271788066,4.9,4.434830306987771,96.15099126428765,0.0,0.0,continuous_heavy_tailed,gaussianize,4877,1484,367
hba1c,metabolic,lognormal,continuous,1,2804,0.6888938200377233,216,0.09664764621968616,0.0,3.2,20.0,5.409497860199715,0.9879618129570228,5.3,8.539198516302946,102.61085475033691,0.0,4.497794861946143e-132,continuous_heavy_tailed,gaussianize,1853,770,181
trig,metabolic,lognormal,continuous,1,7052,0.2175746144458005,502,0.027509926262053317,0.0,0.13,33.46,1.4026405558706752,1.1205824237905793,1.1,6.777332111044934,123.24200520228506,0.0,2.6604057044326495e-29,continuous_heavy_tailed,gaussianize,4944,1711,397
urate,metabolic,lognormal,continuous,1,6547,0.2736047930766671,1040,0.008248052543149535,0.0,32.0,675.1,298.32286390713307,84.19098092927638,293.0,0.33705677837599207,0.3312371950755373,3.1013442288235732e-31,2.749483338665473e-07,continuous_symmetric,gaussianize,4628,1558,361
hodur_arret_travail_actuel,overall_severity,bernoulli,explicit,1,867,0.903805614112948,2,0.6124567474048442,0.3875432525951557,0.0,1.0,0.6124567474048442,0.4871893676622295,1.0,-0.4616551791532978,-1.7868744955609366,0.0,,binary,keep_binary,697,0,170
hooccur_arret_travail_actuel,overall_severity,bernoulli,explicit,1,4474,0.5036059025851547,2,0.7445239159588735,0.7445239159588735,0.0,1.0,0.2554760840411265,0.436128483963313,0.0,1.1213388941569002,-0.7425990844509793,1.1538339760949394e-199,,binary,keep_binary,3357,812,305
jobclas,overall_severity,bernoulli,explicit,-1,2425,0.7309441917230667,2,0.7443298969072165,0.2556701030927835,0.0,1.0,0.7443298969072165,0.43623720780936254,1.0,-1.1201699100090963,-0.7452193727102134,7.203910971594085e-109,,binary,keep_binary,2074,197,154
cgi01,overall_severity,gaussian,continuous,1,8129,0.09808055031620988,8,0.28219953253782754,0.013777832451716078,0.0,7.0,3.718907614712757,1.469863914157794,4.0,-0.4995675390942082,-0.45299709568996427,2.390998299786413e-92,2.1286382899792325e-85,ordinal_8,gaussianize,5509,2095,525
egf,overall_severity,gaussian,continuous,-1,7486,0.16942194607788752,83,0.10793481164841037,0.0001335826876836762,0.0,100.0,60.431739246593644,15.571800805642821,60.0,0.0444731558280805,-0.3426248654469619,7.004951278064116e-13,2.2484357971815713e-08,continuous_symmetric,gaussianize,4969,2036,481
eq5d,overall_severity,gaussian,continuous,-1,5779,0.35881504493509375,494,0.136874891849801,0.00017304031839418584,-0.53,1.0,0.6899932514275826,0.25731489523549667,0.754,-0.9163824299111973,0.46425705808199424,8.88789347845636e-139,2.8889448320471555e-253,continuous_right_skewed,gaussianize,4134,1645,0
eq5d0206,overall_severity,gaussian,continuous,-1,5581,0.38078331299234436,91,0.11574986561548109,0.003941945887833721,0.0,100.0,60.426267693961655,22.214881705944645,65.0,-0.4039528061521264,-0.5931909422267236,4.779799165543308e-69,1.2672798121065289e-115,continuous_symmetric,gaussianize,3733,1344,504
fast,overall_severity,gaussian,continuous,1,6188,0.3134361477865306,72,0.02925016160310278,0.02925016160310278,0.0,71.0,23.22349709114415,15.345640168849734,22.0,0.47550207248682436,-0.48396123764956744,5.5151689175097246e-70,4.478993774271565e-79,count,gaussianize,5821,0,367
fast25,overall_severity,gaussian,continuous,1,6166,0.3158770664595584,13,0.380149205319494,0.380149205319494,0.0,12.0,2.822251054168018,3.238222181849441,2.0,1.0264432152911307,0.024967160953427214,5.58444809800203e-166,0.0,count_zero_inflated,gaussianize,5803,0,363
fast26,overall_severity,gaussian,continuous,1,6090,0.3243093309663819,16,0.34548440065681446,0.21543513957307062,0.0,15.0,7.605418719211823,6.2895751470786765,6.0,0.06567952844913728,-1.719119707209128,0.0,0.0,count,gaussianize,5730,0,360
fast27,overall_severity,gaussian,continuous,1,6166,0.3158770664595584,16,0.1881284463185209,0.1881284463185209,0.0,15.0,4.257054816736945,3.7807999528412592,3.0,0.8176741691504287,-0.09707772538437576,1.7779746789909688e-117,0.0,count,gaussianize,5800,0,366
fast28,overall_severity,gaussian,continuous,1,6130,0.31987129701542216,7,0.6075040783034258,0.6075040783034258,0.0,6.0,1.1584013050570963,1.7779321682529325,0.0,1.4390885301925038,0.9116478102924583,4.849880400385273e-287,0.0,count_zero_inflated,gaussianize,5805,0,325
fast30,overall_severity,gaussian,continuous,1,6169,0.3155442139132364,7,0.33198249311071487,0.33198249311071487,0.0,6.0,2.146701248176366,2.053831995683635,2.0,0.5442394420405486,-0.9893574983765885,0.0,0.0,ordinal_7,gaussianize,5808,0,361
lvsbjind,overall_severity,gaussian,continuous,1,6583,0.2696105625208033,8,0.398906273735379,0.0,1.0,8.0,2.463466504633146,1.3970827276908815,2.0,1.7038793097725522,4.000254638771961,0.0,1.3343968344895132e-29,ordinal_8,gaussianize,4266,1875,442
csm,sleep,gaussian,continuous,-1,5748,0.36225452124708757,42,0.04975643702157272,0.0,13.0,54.0,34.03462073764788,7.677680855002693,34.0,-0.06857559562386938,-0.495064498900891,8.64398654725645e-25,3.093307355809692e-25,continuous_symmetric,gaussianize,5371,0,377
ess0109,sleep,gaussian,continuous,1,6259,0.30555863752357704,25,0.07828726633647548,0.02795973797731267,0.0,24.0,9.269691644032592,4.914881174429253,9.0,0.2704594989866437,-0.3698133014817646,1.7567971262043818e-28,7.281760281393268e-17,count,gaussianize,5881,0,378
psqi,sleep,gaussian,continuous,1,7268,0.193609231110618,21,0.10456796917996698,0.0031645569620253164,0.0,20.0,7.534259768849752,3.82120472819602,7.0,0.5844215224850191,-0.06698030157561341,6.955202362774094e-79,1.1974248170396803e-15,count,gaussianize,5824,1149,295
psqi11,sleep,gaussian,continuous,1,7413,0.17752135803838898,4,0.6400917307432888,0.6400917307432888,0.0,3.0,0.65331174962903,1.0155283755923117,0.0,1.357364013847419,0.45314098353900034,8.133709679231427e-305,0.0,count_zero_inflated,gaussianize,5900,1206,307
psqi12,sleep,gaussian,continuous,1,7468,0.1714190613558194,4,0.7832083556507766,0.7832083556507766,0.0,3.0,0.3512319228709159,0.7561317516178723,0.0,2.2253365893268464,4.091483850434775,0.0,7.004993091083475e-304,count_zero_inflated,gaussianize,5904,1226,338
psqi13,sleep,gaussian,continuous,1,7407,0.17818706313103294,4,0.5701363574996625,0.0317267449709734,0.0,3.0,1.4059673282030511,0.6194559692714204,1.0,0.458823279563326,-0.015149414624248791,3.502093410956645e-52,0.00010589589007863088,ordinal_4,gaussianize,5862,1210,335
psqi14,sleep,gaussian,continuous,1,7474,0.17075335626317545,4,0.362991704575863,0.19132994380519133,0.0,3.0,1.4108910891089108,0.9684032487556512,1.0,0.1373844140969954,-0.9515201059642946,1.4839527430155158e-292,1.1093683279393918e-281,ordinal_4,gaussianize,5896,1239,339
