item,home_factor,family,modeling_block,item_sign,n_obs,frac_missing,n_distinct,modal_frac,frac_zero,minimum,maximum,mean,sd,median,skew,kurtosis,normaltest_p_raw,normaltest_p_yeojohnson,empirical_form,recommended_tier,n_bp,n_sz,n_dr
cssrs08,suicidality,ordered_logistic,explicit,1,551,0.9388660823255298,5,0.2558983666061706,0.0,1.0,5.0,2.9201451905626135,1.4029308111779313,3.0,-0.06304148605597486,-1.2535285379320718,2.7627450477074702e-120,2.0515225425558198e-132,ordinal_5,keep_ordinal,350,0,201
cssrs09,suicidality,ordered_logistic,explicit,1,544,0.9396427382669478,5,0.33455882352941174,0.0,1.0,5.0,2.3161764705882355,1.2701447687425294,2.0,0.7162091872146901,-0.5318587816884781,1.0626515500788888e-11,2.0033698941669566e-174,ordinal_5,keep_ordinal,343,0,201
cssrs10,suicidality,ordered_logistic,explicit,1,542,0.9398646399644958,6,0.3081180811808118,0.03136531365313653,0.0,5.0,2.5387453874538743,1.470927580216838,2.0,0.25618906276555314,-1.1626522946158155,5.9196203632796625e-61,1.415168375312465e-34,ordinal_6,keep_ordinal,341,0,201
cssrs11,suicidality,ordered_logistic,explicit,1,541,0.9399755908132698,6,0.5988909426987061,0.08317929759704251,0.0,5.0,1.6229205175600738,1.3231032429347407,1.0,1.462298084120598,1.2370829940279684,7.427610641988775e-29,0.1630469280720386,ordinal_6,keep_ordinal,339,0,202
cssrs12,suicidality,ordered_logistic,explicit,1,539,0.9401974925108177,6,0.48794063079777367,0.07606679035250463,0.0,5.0,3.8923933209647497,1.5432892688593867,4.0,-1.4854071792285588,1.0051365223072803,1.960598571154669e-28,3.29130795725374e-16,ordinal_6,keep_ordinal,337,0,202
isf08a,suicidality,ordered_logistic,explicit,1,7988,0.11372461999334293,8,0.9292689033550325,0.9292689033550325,0.0,10.0,0.09476715072608913,0.4023686234365612,0.0,6.926880900888661,84.7463755810869,0.0,0.0,count_zero_inflated,keep_ordinal,5555,2035,398
ltsg01,suicidality,ordered_logistic,explicit,1,490,0.9456340841007433,3,0.8163265306122449,0.0,1.0,3.0,1.2510204081632652,0.5680695735557691,1.0,2.16165496163856,3.4339742349148175,2.007246372867128e-46,6.053245148957173e-28,ordinal_3,keep_ordinal,437,0,53
ltsg05,suicidality,ordered_logistic,explicit,1,55,0.9938977033174303,5,0.36363636363636365,0.2,0.0,6.0,2.8,1.6113235666257837,3.0,-0.6644154268381974,-0.44218864016194637,0.100484844387115,0.5404202004725346,ordinal_5,keep_ordinal,50,0,5
ltsg06,suicidality,ordered_logistic,explicit,1,45,0.9950072118051703,4,0.5111111111111111,0.0,1.0,4.0,1.9555555555555555,1.114660995909729,1.0,0.6652355317505713,-1.0608632573469388,0.008571276899304594,5.461264448202174e-27,ordinal_4,keep_ordinal,43,0,2
ltsv02,suicidality,ordered_logistic,explicit,1,64,0.9928991456784645,3,0.546875,0.0,1.0,3.0,2.484375,0.6121730632549917,3.0,-0.7577334488522608,-0.41112796952752806,0.04017896736923187,1.0440970915131872e-35,ordinal_3,keep_ordinal,63,0,1
ltsv04,suicidality,ordered_logistic,explicit,1,29,0.9967824253855542,3,0.9310344827586207,0.9310344827586207,0.0,5.0,0.2413793103448276,0.9704308468600199,0.0,4.256746120872813,17.312844352617077,9.798012952570537e-14,1.015638202013607e-10,count_zero_inflated,keep_ordinal,29,0,0
ltsv05,suicidality,ordered_logistic,explicit,1,23,0.9974481304781981,4,0.8260869565217391,0.8260869565217391,0.0,4.0,0.34782608695652173,0.9140780887664626,0.0,3.0159748360121834,8.584027763559304,4.941589680620937e-09,0.001360032426719091,count_zero_inflated,keep_ordinal,22,0,1
ltsv06,suicidality,ordered_logistic,explicit,1,31,0.9965605236880062,4,0.9032258064516129,0.9032258064516129,0.0,4.0,0.22580645161290322,0.7914738158958255,0.0,3.8704214863001236,14.529745808545165,6.547310961518599e-13,2.2699501725329372e-08,count_zero_inflated,keep_ordinal,30,0,1
