,overall_severity,cognition,immunometabolic,sleep,suicidality,developmental_risk,mania_activation,substance
overall_severity,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cognition,0.0,1.0,0.006688936429426172,-0.1610942065623087,-0.046104923859316777,-0.0713822731058479,-0.012797266168641786,-0.02076628533816996
immunometabolic,0.0,0.006688936429426172,1.0,-0.015651239344144172,0.017536861486054663,-0.01602811410434905,-0.01644110344966231,0.20311038266049433
sleep,0.0,-0.1610942065623087,-0.015651239344144172,1.0,0.11634833465757187,0.20042149574058093,0.2391516291182334,-0.007169864299172418
suicidality,0.0,-0.046104923859316777,0.017536861486054663,0.11634833465757187,1.0,0.16685999323265915,0.015886893283151474,0.1677353128989288
developmental_risk,0.0,-0.0713822731058479,-0.01602811410434905,0.20042149574058093,0.16685999323265915,1.0,0.14160050568928878,0.09835922725137984
mania_activation,0.0,-0.012797266168641786,-0.01644110344966231,0.2391516291182334,0.015886893283151474,0.14160050568928878,1.0,0.057714395318456305
substance,0.0,-0.02076628533816996,0.20311038266049433,-0.007169864299172418,0.1677353128989288,0.09835922725137984,0.057714395318456305,1.0
