item,factor,loading,kind,home
psqi15,overall_severity,0.305,bifactor_G,sleep
psqi15,sleep,0.655,primary,sleep
psqi17,overall_severity,0.515,bifactor_G,sleep
psqi17,sleep,0.321,primary,sleep
qidsr120,overall_severity,0.759,window,
qidsr120,cognition,-0.05,window,
qidsr120,sleep,0.221,window,
staya,overall_severity,0.649,window,
staya,sleep,0.184,window,
sysbpstanding,overall_severity,-0.018,bifactor_G,metabolic
sysbpstanding,metabolic,0.451,primary,metabolic
sysbpsupine,overall_severity,0.044,bifactor_G,metabolic
sysbpsupine,metabolic,0.424,primary,metabolic
t3fr_lbstresc,overall_severity,-0.009,bifactor_G,metabolic
t3fr_lbstresc,metabolic,0.046,primary,metabolic
t4fr_lbstresc,overall_severity,0.003,bifactor_G,metabolic
t4fr_lbstresc,metabolic,0.007,primary,metabolic
tmt_a_time_sec,overall_severity,0.276,bifactor_G,cognition
tmt_a_time_sec,cognition,0.419,primary,cognition
tmt_b_time_sec,overall_severity,0.291,bifactor_G,cognition
tmt_b_time_sec,cognition,0.468,primary,cognition
trig,overall_severity,0.219,bifactor_G,metabolic
trig,metabolic,0.484,primary,metabolic
tsh_lbstresc,overall_severity,-0.001,bifactor_G,metabolic
tsh_lbstresc,metabolic,0.027,primary,metabolic
urate,overall_severity,-0.035,bifactor_G,metabolic
urate,metabolic,0.467,primary,metabolic
urea_lbstresc,overall_severity,-0.021,bifactor_G,metabolic
urea_lbstresc,metabolic,0.108,primary,metabolic
verbal_fluency_phonemic,overall_severity,0.238,bifactor_G,cognition
verbal_fluency_phonemic,cognition,0.403,primary,cognition
verbal_fluency_semantic,overall_severity,0.292,bifactor_G,cognition
verbal_fluency_semantic,cognition,0.513,primary,cognition
vitd,overall_severity,0.036,bifactor_G,metabolic
vitd,metabolic,0.096,primary,metabolic
wais_code_std,overall_severity,0.348,bifactor_G,cognition
wais_code_std,cognition,0.455,primary,cognition
wais_digitspan_std,overall_severity,0.224,bifactor_G,cognition
wais_digitspan_std,cognition,0.38,primary,cognition
wais_ivt_index,overall_severity,0.334,bifactor_G,cognition
wais_ivt_index,cognition,0.486,primary,cognition
wais_similitudes_std,overall_severity,0.142,bifactor_G,cognition
wais_similitudes_std,cognition,0.436,primary,cognition
wbc,overall_severity,0.125,bifactor_G,inflammatory
wbc,inflammatory,0.855,primary,inflammatory
weight,overall_severity,0.093,bifactor_G,metabolic
weight,metabolic,0.936,primary,metabolic
wstcir,overall_severity,0.127,bifactor_G,metabolic
wstcir,metabolic,0.889,primary,metabolic
wurs,overall_severity,0.35,bifactor_G,developmental_risk
wurs,developmental_risk,0.323,primary,developmental_risk
