cohort,visit,n_patients,frac_of_v0
bp,V0,6252,1.0
bp,V1,3074,0.492
bp,V2,2228,0.356
bp,V3,1497,0.239
bp,V4,512,0.082
bp,V5,246,0.039
bp,V6,149,0.024
bp,V7,83,0.013
bp,V8,56,0.009
bp,V9,37,0.006
bp,V10,25,0.004
dr,V0,552,1.0
dr,V1,233,0.422
dr,V2,135,0.245
dr,V3,3,0.005
dr,V4,69,0.125
dr,V5,4,0.007
sz,V0,2209,1.0
sz,V1,963,0.436
sz,V2,595,0.269
sz,V3,455,0.206
sz,V4,198,0.09
sz,V5,142,0.064
sz,V6,29,0.013
sz,V7,17,0.008
sz,V8,10,0.005
sz,V9,2,0.001
sz,V10,1,0.0
