axis,n,frac_reliable,frac_decrease,frac_increase,mean_abs_delta,frac_reliable_V1,license,icc_g3,verdict_g3
overall_severity,2958,0.33,0.252,0.078,0.64,0.287,invariant,0.656,trait
cognition,2958,0.102,0.077,0.025,0.504,0.028,invariant,0.776,trait
metabolic,2958,0.166,0.054,0.112,0.423,0.126,invariant,0.932,trait
inflammatory,2958,0.062,0.028,0.033,0.551,0.064,partial,0.854,trait
sleep,2958,0.532,0.29,0.242,0.738,0.506,invariant,0.49,mixed
mania_activation,2958,0.083,0.056,0.027,0.644,0.077,not-tested,0.72,trait
suicidality,2958,0.318,0.313,0.005,1.055,0.316,not-tested,0.46,mixed
developmental_risk,2958,0.088,0.08,0.008,0.779,0.088,invariant,0.39,state
substance,2958,0.003,0.002,0.001,0.39,0.005,not-tested,0.999,uninformative
