,overall_severity,cognition,metabolic,inflammatory,sleep,suicidality,developmental_risk
overall_severity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cognition,0.0,1.0,0.127,0.048,-0.065,-0.134,-0.038
metabolic,0.0,0.127,1.0,0.151,-0.057,-0.028,-0.059
inflammatory,0.0,0.048,0.151,1.0,-0.015,-0.01,0.005
sleep,0.0,-0.065,-0.057,-0.015,1.0,0.164,0.203
suicidality,0.0,-0.134,-0.028,-0.01,0.164,1.0,0.251
developmental_risk,0.0,-0.038,-0.059,0.005,0.203,0.251,1.0
