,overall_severity,cognition,metabolic,inflammatory,sleep,suicidality,developmental_risk,mania_activation,substance
overall_severity,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cognition,0.0,1.0,0.05434877459853862,-0.011722403604710172,-0.161562179278305,-0.04113895491135563,-0.07917362061171365,-0.004110559737690975,-0.008040880894430119
metabolic,0.0,0.05434877459853862,1.0,0.17922441660692248,-0.009006228632652416,0.0412512123409638,-0.03876108644626254,0.012574674940272411,0.09974962495939732
inflammatory,0.0,-0.011722403604710172,0.17922441660692248,1.0,-0.0037968718706010525,-0.02552979914737423,-0.00871924348680753,0.034913572594794245,0.3261772401907027
sleep,0.0,-0.161562179278305,-0.009006228632652416,-0.0037968718706010525,1.0,0.11727136763310325,0.20069953770933963,0.24090573917964575,-0.0035765882013480367
suicidality,0.0,-0.04113895491135563,0.0412512123409638,-0.02552979914737423,0.11727136763310325,1.0,0.16961133165576292,0.0183600538860293,0.17044509455546075
developmental_risk,0.0,-0.07917362061171365,-0.03876108644626254,-0.00871924348680753,0.20069953770933963,0.16961133165576292,1.0,0.14641320597191593,0.09680120938125178
mania_activation,0.0,-0.004110559737690975,0.012574674940272411,0.034913572594794245,0.24090573917964575,0.0183600538860293,0.14641320597191593,1.0,0.06274806793800461
substance,0.0,-0.008040880894430119,0.09974962495939732,0.3261772401907027,-0.0035765882013480367,0.17044509455546075,0.09680120938125178,0.06274806793800461,1.0
