item,factor,home,block,likelihood_family,kind,loading,abs_loading,ci_low,ci_high,excludes_zero
cvlt_short_delay_free_recall,cognition,cognition,continuous,gaussian,primary,0.8921294923315217,0.8921294923315217,0.8698834592186989,0.9160927993787672,True
cvlt_total_recall,overall_severity,cognition,continuous,gaussian,bifactor_G,0.15443406307675345,0.15443406307675345,0.12506312322922106,0.18434420075032965,True
cvlt_total_recall,cognition,cognition,continuous,gaussian,primary,0.8495227709835869,0.8495227709835869,0.8259912401024357,0.8732873087358007,True
diabpstanding,overall_severity,immunometabolic,continuous,gaussian,bifactor_G,0.02939026085044137,0.02939026085044137,0.004711028484678822,0.05404543575903928,True
diabpstanding,immunometabolic,immunometabolic,continuous,gaussian,primary,0.22878992786037394,0.22878992786037394,0.20213981704333367,0.2563159212750492,True
diabpsupine,overall_severity,immunometabolic,continuous,gaussian,bifactor_G,0.06749312812249575,0.06749312812249575,0.04756436713899705,0.0881076525816953,True
diabpsupine,immunometabolic,immunometabolic,continuous,gaussian,primary,0.22961185266830608,0.22961185266830608,0.20811192334395828,0.25147155756128725,True
egf,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.6016508006962481,0.6016508006962481,0.5855887425460996,0.6187405400433497,True
eghrmn,overall_severity,immunometabolic,continuous,gaussian,bifactor_G,0.15930787189768375,0.15930787189768375,0.13296367066344217,0.1853103524935502,True
eghrmn,immunometabolic,immunometabolic,continuous,gaussian,primary,0.17287681006301972,0.17287681006301972,0.14356383154468344,0.20124922069699844,True
eos,overall_severity,immunometabolic,continuous,lognormal,bifactor_G,-0.0745191782746179,0.0745191782746179,-0.09782037305251835,-0.052523463600680755,True
eos,immunometabolic,immunometabolic,continuous,lognormal,primary,0.06809038687409216,0.06809038687409216,0.04300313902153474,0.09281240669893373,True
epilepsie_mhoccur,overall_severity,developmental_risk,explicit,bernoulli,bifactor_G,0.05734477461428863,0.05734477461428863,-0.023121840874918153,0.13846982721930423,False
epilepsie_mhoccur,developmental_risk,developmental_risk,explicit,bernoulli,primary,0.0618673328291814,0.0618673328291814,0.0028678774306208923,0.20255273164552728,True
eq5d,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.6011809940972208,0.6011809940972208,0.57393564109942,0.6288971954387085,True
eq5d0206,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.5626977035609222,0.5626977035609222,0.5435153697883477,0.5823590005666617,True
ess0109,overall_severity,sleep,continuous,gaussian,bifactor_G,0.11651820200239424,0.11651820200239424,0.09022228766872192,0.1424067052964568,True
ess0109,sleep,sleep,continuous,gaussian,primary,0.05351003672121975,0.05351003672121975,0.02490479346336144,0.08225985015663916,True
fagers,overall_severity,substance,continuous,gaussian,bifactor_G,0.1623095833996097,0.1623095833996097,0.13510677435429003,0.1914115370687903,True
fagers,substance,substance,continuous,gaussian,primary,0.4072000854214605,0.4072000854214605,0.3748070167997649,0.4394043203890195,True
fast,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.7809576687436787,0.7809576687436787,0.7624792730270477,0.799692183640211,True
fast25,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.6384192235334079,0.6384192235334079,0.6197352836280994,0.6569859942900407,True
fast26,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.35931410144611875,0.35931410144611875,0.34137264087616614,0.37746997636804724,True
fast27,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.6055744077678443,0.6055744077678443,0.5853311609962859,0.6271200889010756,True
fast28,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.2665446962648267,0.2665446962648267,0.24684755225554714,0.28718080714467503,True
fast30,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.5715006605461408,0.5715006605461408,0.5530296301703046,0.5902309217685039,True
ggt_lbstresc,overall_severity,immunometabolic,continuous,lognormal,bifactor_G,0.09922430501448964,0.09922430501448964,0.07752133492949029,0.12099800460218814,True
ggt_lbstresc,immunometabolic,immunometabolic,continuous,lognormal,primary,0.31005453329742794,0.31005453329742794,0.28450067933430695,0.3357034842445626,True
