item,home,factor,loading,ci_low,ci_high
ymrs,mania_activation,sleep,0.14290203908493082,0.09691352085811157,0.18945878231305754
ctq37,developmental_risk,cognition,-0.10474180310924697,-0.17775931994446334,-0.039772157773596876
madrs,,immunometabolic,-0.08648360465644597,-0.13194177367332527,-0.008587173408946498
psqi17,sleep,cognition,-0.07058665273182935,-0.1324208719827767,-0.008572717992573042
altman,mania_activation,developmental_risk,0.07048907358586134,0.010466013538119228,0.12457773533087486
altman,mania_activation,sleep,0.07017445875296227,0.012777353589485126,0.1284713473492482
psqi11,sleep,cognition,0.06518859781242085,0.00736160093484957,0.13112344064693823
